pop1,pop2,prpshrd
31,55,0.2359226
31,56,0.2371732
32,33,0.204021
32,34,0.2252836
32,35,0.2212096
32,36,0.2227147
32,37,0.1980291
32,38,0.2009298
32,39,0.2013234
32,40,0.1770747
32,41,0.2247475
32,42,0.197049
32,43,0.2061614
32,44,0.2352436
32,45,0.2278681
32,46,0.2081938
32,47,0.2290483
32,48,0.2234647
32,49,0.2276058
32,50,0.2338116
32,51,0.2278711
32,52,0.2159848
32,53,0.2308807
32,54,0.2225019
32,55,0.2012649
32,56,0.2162149
33,34,0.2295122
33,35,0.2134146
33,36,0.2189243
33,37,0.1409652
33,38,0.2205049
33,39,0.1353143
33,40,0.2142036
33,41,0.2076107
33,42,0.1316671
33,43,0.2142996
33,44,0.2258049
33,45,0.236824
33,46,0.1853432
33,47,0.2089318
33,48,0.1932696
33,49,0.1937526
33,50,0.2374115
33,51,0.1963261
33,52,0.2161038
33,53,0.2270095
33,54,0.2321073
33,55,0.2041117
33,56,0.218679
34,35,0.2245771
34,36,0.2354178
34,37,0.2344264
34,38,0.2322053
34,39,0.2216384
34,40,0.2125729
34,41,0.212969
34,42,0.2313932
34,43,0.22573
34,44,0.2282365
34,45,0.2115093
34,46,0.23663
34,47,0.2260247
34,48,0.2191505
34,49,0.225295
34,50,0.2360933
34,51,0.2301062
34,52,0.2387572
34,53,0.2318865
34,54,0.2301458
34,55,0.227317
34,56,0.213822
35,36,0.2339255
35,37,0.2246767
35,38,0.2170772
35,39,0.2194018
35,40,0.2062805
35,41,0.2220933
35,42,0.2321759
35,43,0.21678
35,44,0.2368641
35,45,0.2460645
35,46,0.22641
35,47,0.2048578
35,48,0.2280941
35,49,0.2138886
35,50,0.2365503
35,51,0.2141894
35,52,0.2029295
35,53,0.2451581
35,54,0.2439348
35,55,0.2245336
35,56,0.2157998
36,37,0.2258897
36,38,0.2192597
36,39,0.2174064
36,40,0.2239039
36,41,0.2220223
36,42,0.2314911
36,43,0.2177122
36,44,0.2313054
36,45,0.2360958
36,46,0.2256736
36,47,0.1880837
36,48,0.2239935
36,49,0.215409
36,50,0.2327415
36,51,0.222044
36,52,0.2245876
36,53,0.2284662
36,54,0.2254427
36,55,0.2260368
36,56,0.2171494
37,38,0.2264584
37,39,0.1783083
37,40,0.2184838
37,41,0.2197979
37,42,0.1783311
37,43,0.2176502
37,44,0.2273734
37,45,0.2255799
37,46,0.2054305
37,47,0.2303794
37,48,0.2225086
37,49,0.2111318
37,50,0.2430068
37,51,0.2178567
37,52,0.2308032
37,53,0.2288262
37,54,0.224837
37,55,0.2119392
37,56,0.2307482
38,39,0.221615
38,40,0.1966903
38,41,0.2316337
38,42,0.2235722
38,43,0.2246542
38,44,0.2403909
38,45,0.241328
38,46,0.2137691
38,47,0.2240925
38,48,0.2320036
38,49,0.2199239
38,50,0.2423486
38,51,0.2267309
38,52,0.1982383
38,53,0.2381107
38,54,0.2402353
38,55,0.2203102
38,56,0.2203067
39,40,0.216794
39,41,0.2178209
39,42,0.1698266
39,43,0.1332358
39,44,0.2270415
39,45,0.2392977
39,46,0.1978772
39,47,0.2161337
39,48,0.2034873
39,49,0.2127244
39,50,0.231543
39,51,0.2180797
39,52,0.2135808
39,53,0.2343175
39,54,0.2322018
39,55,0.2026661
39,56,0.2161109
40,41,0.220618
40,42,0.2225081
40,43,0.2230601
40,44,0.2319335
40,45,0.2241108
40,46,0.2204774
40,47,0.2186988
40,48,0.2270601
40,49,0.2255196
40,50,0.2350189
40,51,0.22071
40,52,0.2130763
40,53,0.2343767
40,54,0.2334864
40,55,0.2250455
40,56,0.2138897
41,42,0.2140352
41,43,0.2252727
41,44,0.2204706
41,45,0.2224087
41,46,0.2235735
41,47,0.2231558
41,48,0.2208948
41,49,0.2333091
41,50,0.23313
41,51,0.2272191
41,52,0.2257928
41,53,0.2382698
41,54,0.232882
41,55,0.2288029
41,56,0.2226927
42,43,0.210417
42,44,0.2337838
42,45,0.2420635
42,46,0.168622
42,47,0.2354525
42,48,0.1813708
42,49,0.2000876
42,50,0.2435188
42,51,0.2025551
42,52,0.2163085
42,53,0.2322554
42,54,0.2335736
42,55,0.187948
42,56,0.2280955
43,44,0.2302663
43,45,0.2289969
43,46,0.1918626
43,47,0.2322597
43,48,0.2203794
43,49,0.2158473
43,50,0.2304695
43,51,0.225142
43,52,0.2109133
43,53,0.2316571
43,54,0.2322156
43,55,0.2042408
43,56,0.2154084
44,45,0.2386091
44,46,0.2292014
44,47,0.2304937
44,48,0.2273781
44,49,0.228404
44,50,0.2260122
44,51,0.2348656
44,52,0.2311143
44,53,0.2389813
44,54,0.2323726
44,55,0.2192008
44,56,0.2214503
45,46,0.2453751
45,47,0.2495949
45,48,0.2342056
45,49,0.2379805
45,50,0.2474014
45,51,0.2341809
45,52,0.2390036
45,53,0.2362187
45,54,0.235799
45,55,0.2394687
45,56,0.2308573
46,47,0.2297376
46,48,0.2021248
46,49,0.1971188
46,50,0.2354376
46,51,0.2070659
46,52,0.2145828
46,53,0.2311863
46,54,0.2316374
46,55,0.2084383
46,56,0.2208117
47,48,0.2275932
47,49,0.2060307
47,50,0.227513
47,51,0.2183069
47,52,0.1998045
47,53,0.2421463
47,54,0.2355877
47,55,0.2221856
47,56,0.2060349
48,49,0.2182231
48,50,0.2352355
48,51,0.2185879
48,52,0.2228226
48,53,0.2331221
48,54,0.230722
48,55,0.217701
48,56,0.2237332
49,50,0.2324863
49,51,0.1854822
49,52,0.196976
49,53,0.2217751
49,54,0.2282428
