pop1,pop2,prpshrd
16,60,0.2428358
16,61,0.2392501
16,62,0.2392122
16,63,0.2400686
16,64,0.2393385
16,65,0.2251908
16,66,0.2333966
16,67,0.2432432
16,68,0.231351
16,69,0.2309426
16,70,0.2323772
16,71,0.2450558
16,72,0.2434151
16,73,0.2372108
16,74,0.2245199
16,75,0.2327347
16,76,0.2340695
16,78,0.231174
17,18,0.2390404
17,19,0.2390883
17,20,0.2177934
17,21,0.2416068
17,22,0.2135123
17,23,0.2184906
17,24,0.2303134
17,25,0.2338909
17,26,0.2286851
17,27,0.1939585
17,28,0.2195806
17,29,0.2318865
17,31,0.2392553
17,32,0.2267195
17,33,0.2350083
17,34,0.22948
17,35,0.2296676
17,36,0.2342782
17,37,0.226218
17,38,0.2133179
17,39,0.2263405
17,40,0.2144223
17,41,0.2409731
17,42,0.2214183
17,43,0.2310766
17,44,0.2237068
17,45,0.2370643
17,46,0.2273211
17,47,0.232313
17,48,0.2428933
17,49,0.2398345
17,50,0.2327202
17,51,0.2240898
17,52,0.2349103
17,53,0.2432275
17,54,0.2188733
17,55,0.2351093
17,56,0.2342901
17,57,0.2352972
17,58,0.2365958
17,59,0.244289
17,60,0.2353235
17,61,0.2425591
17,62,0.2275174
17,63,0.2396257
17,64,0.2193957
17,65,0.2382092
17,66,0.2347668
17,67,0.2377009
17,68,0.1971865
17,69,0.22975
17,70,0.2371999
17,71,0.2366233
17,72,0.2200927
17,73,0.1877424
17,74,0.2317668
17,75,0.2151964
17,76,0.2339585
17,78,0.2317581
18,19,0.2496014
18,20,0.2459115
18,21,0.1629096
18,22,0.2336186
18,23,0.2356184
18,24,0.2566489
18,25,0.2409228
18,26,0.2310596
18,27,0.2400268
18,28,0.2414294
18,29,0.2391871
18,31,0.2464613
18,32,0.2378541
18,33,0.2404849
18,34,0.230625
18,35,0.2363756
18,36,0.2395705
18,37,0.2367931
18,38,0.2316912
18,39,0.2435407
18,40,0.2420497
18,41,0.2464153
18,42,0.2414005
18,43,0.2387079
18,44,0.2476487
18,45,0.2422763
18,46,0.249028
18,47,0.2430234
18,48,0.2570475
18,49,0.2466685
18,50,0.2483768
18,51,0.2348465
18,52,0.2496909
18,53,0.2507152
18,54,0.2346329
18,55,0.2427368
18,56,0.2478928
18,57,0.2411915
18,58,0.240967
18,59,0.1546231
18,60,0.2435388
18,61,0.2006023
18,62,0.2394848
18,63,0.2604756
18,64,0.2509944
18,65,0.1888165
18,66,0.2472397
18,67,0.2277959
18,68,0.2415134
18,69,0.2459921
18,70,0.2476345
18,71,0.2519787
18,72,0.2535475
18,73,0.2514083
18,74,0.2365402
18,75,0.247176
18,76,0.2468428
18,78,0.2456981
19,20,0.1915565
19,21,0.2275898
19,22,0.2258479
19,23,0.2283945
19,24,0.2221675
19,25,0.2257941
19,26,0.2305694
19,27,0.2300754
19,28,0.2041971
19,29,0.2300174
19,31,0.2386374
19,32,0.2311104
19,33,0.2403626
19,34,0.2406931
19,35,0.235944
19,36,0.200592
19,37,0.2320628
19,38,0.234577
19,39,0.2257804
19,40,0.2396427
19,41,0.2449153
19,42,0.2240506
19,43,0.2282395
19,44,0.1863012
19,45,0.2309399
19,46,0.2340494
19,47,0.2211915
19,48,0.252466
19,49,0.2370522
19,50,0.2249684
19,51,0.2285214
19,52,0.243084
19,53,0.2348774
19,54,0.2315571
19,55,0.2397948
19,56,0.2367748
19,57,0.2379978
19,58,0.2405576
19,59,0.2375823
19,60,0.2349482
19,61,0.2310595
19,62,0.2364999
19,63,0.2290326
19,64,0.197507
19,65,0.2349984
19,66,0.21584
19,67,0.2412007
19,68,0.2288228
19,69,0.1447208
19,70,0.2258689
19,71,0.226082
19,72,0.2430485
19,73,0.2287621
19,74,0.2286917
19,75,0.230112
19,76,0.2394006
19,78,0.2274393
20,21,0.2265007
20,22,0.2184711
20,23,0.2111473
20,24,0.2246947
20,25,0.2227202
20,26,0.2203908
20,27,0.2292557
20,28,0.1315575
20,29,0.2227101
20,31,0.2349046
20,32,0.2270652
20,33,0.2338148
20,34,0.2309314
20,35,0.2205469
20,36,0.2263877
20,37,0.2205633
20,38,0.1834008
20,39,0.2070467
20,40,0.1437065
20,41,0.2321246
20,42,0.2000809
20,43,0.2214491
20,44,0.111279
20,45,0.2246212
20,46,0.2291874
20,47,0.2295542
20,48,0.2441539
20,49,0.2300055
20,50,0.2064267
20,51,0.229346
20,52,0.2349756
20,53,0.2367784
20,54,0.2252697
20,55,0.2278523
20,56,0.2291883
20,57,0.231247
20,58,0.2310954
20,59,0.2422642
20,60,0.2401961
20,61,0.2422513
20,62,0.2266248
20,63,0.2174419
20,64,0.2079727
20,65,0.2332211
20,66,0.1886936
20,67,0.2356956
20,68,0.2172395
20,69,0.2317588
20,70,0.2257417
20,71,0.2340488
20,72,0.2053096
20,73,0.2010436
20,74,0.1890521
20,75,0.2294118
20,76,0.2285617
20,78,0.2231345
21,22,0.2182334
21,23,0.2269096
21,24,0.2214321
21,25,0.2302077
21,26,0.2227982
21,27,0.2279088
21,28,0.2272263
21,29,0.2355242
21,31,0.2348506
21,32,0.2327174
21,33,0.240621
21,34,0.2331035
21,35,0.2321332
21,36,0.2372866
21,37,0.2339941
21,38,0.2433609
21,39,0.2304472
21,40,0.2430276
21,41,0.2476338
21,42,0.230966
21,43,0.2393749
21,44,0.2314145
21,45,0.2190792
21,46,0.248338
21,47,0.239148
21,48,0.2523879
21,49,0.2438048
21,50,0.2348477
21,51,0.2281992
21,52,0.2529499
21,53,0.2421186
21,54,0.2383844
21,55,0.244807
21,56,0.2422169
21,57,0.2417386
21,58,0.2460302
21,59,0.1938508
21,60,0.2464007
21,61,0.2277161
21,62,0.2378879
21,63,0.2423198
21,64,0.2409983
21,65,0.2018749
21,66,0.235036
21,67,0.2448615
21,68,0.2397859
21,69,0.2304178
21,70,0.2091871
